Model #,VS,OR1,OR2,Size,Chemical,Hydro,6yr,CT Label,Extra Parts,Extra Labor
240,6093,5240,5690,2.5G,Water,5,100,TRUE,-,-
250,6093,5240,5690,6L,Foam 504,5,100,TRUE,-,-
252,6093,5240,5690,2.5G,Foam 504,5,100,TRUE,-,-
260,14878,5240,5690,6L,Wet Chem 530,5,100,TRUE,-,-
262,14878,5240,5690,2.5G,Wet Chem 660,5,100,TRUE,-,-
270,6093,5240,5690,6L,WM 670,5,100,TRUE,-,-
272,6093,5240,5690,2.5G,WM 671,5,100,TRUE,-,-
322,1539,1124,-,5#,CO2,5,100,TRUE,-,-
330,1539,1124,-,10#,CO2,5,100,TRUE,-,-
331,1539,1124,-,15#,CO2,5,100,TRUE,-,-
332,1539,1124,-,20#,CO2,5,100,TRUE,-,-
344,6092,5241,,1.25#,Halon 1211,12,6,TRUE,-,Done by Illini
357,6093,5240,,5#,Halon 1211,12,6,TRUE,-,Done by Illini
361,6093,5240,,17#,Halon 1211,12,6,TRUE,-,Done by Illini
369,6093,5240,,9#,Halon 1211,12,6,TRUE,-,Done by Illini
371,6093,5240,,13#,Halon 1211,12,6,TRUE,-,Done by Illini
372,6093,5240,,17#,Halon 1211,12,6,TRUE,-,Done by Illini
402,6092,5241,-,5#,ABC,12,6,TRUE,-,-
408,6093,5240,-,20#,Sodium Bicarb BC,12,6,TRUE,-,-
411,6092,5241,-,20#,ABC,12,6,TRUE,-,-
417,6092,5241,-,2.5#,ABC,12,6,TRUE,-,-
423,6093,5240,-,20#,ABC,12,6,TRUE,-,-
424,6093,5240,-,5#,ABC,12,6,TRUE,-,-
441,6093,5240,-,10#,ABC,12,6,TRUE,-,-
456,6092,5241,-,10#,ABC,12,6,TRUE,-,-
460,6092,5241,-,10#,Purple K,12,6,TRUE,-,-
479,6092,5241,-,5#,Purple K,12,6,TRUE,-,-
570,6093,5240,-,30#,Class D,12,6,TRUE,-,-
571,6093,5240,-,30#,Class D,12,6,TRUE,-,-
10# Beverage,-,1124,-,10#,CO2,5,100,FALSE,-,-
10# Beverage Threaded,-,-,-,10#,CO2,5,100,FALSE,-,-
10MB,23794,320680K,-,10#,ABC,12,6,TRUE,-,-
15# Beverage,-,1124,-,15#,CO2,5,100,FALSE,-,-
15# Beverage Threaded,-,-,-,15#,CO2,5,100,FALSE,-,-
20# Beverage,-,1124,-,20#,CO2,5,100,FALSE,-,-
20# Beverage Threaded,-,-,-,20#,CO2,5,100,TRUE,-,-
20MB3H 95,23795,23797,-,20#,ABC,12,6,TRUE,-,-
20SHISAABC,103215,OR37,-,20#,ABC,12,6,TRUE,-,-
331-,1539,1124,-,15#,CO2,5,100,rbCT = true,-,-
331-00,1539,1124,-,15#,CO2,5,100,rbCT = true,-,-
331-01,1539,1124,-,15#,CO2,5,100,TRUE,rbCT = true,-
331-02,1539,1124,-,15#,CO2,5,100,TRUE,rbCT = true,-
331-03,1539,1124,-,15#,CO2,5,100,TRUE,rbCT = true,-
331-04,1539,1124,-,15#,CO2,5,100,TRUE,rbCT = true,-
